claim_id,assertion,backing_script,status,note
AB-01,Two leading heat coefficients determine such a pillow among all of them precisely when `p+q+r ≤ 17`,code/enumerate_degeneracies.py,backed,check_base_case: no sigma-collision for any S <= 17
AB-02,Reciprocal-sum intervals stay disjoint through sum 17 and first touch at sum 18,NONE,prose-restatement,"Prose summary of TH-18/TH-20, both verified."
AB-03,"`O(2,8,8)` and `O(3,3,12)` are non-isometric and share their two leading heat coefficients",code/enumerate_degeneracies.py,backed,"check_base_case: exactly one degeneracy at S = 18, the expected pair"
AB-04,This is the minimal two-coefficient spectral degeneracy,code/enumerate_degeneracies.py,backed,"check_base_case: exactly one degeneracy at S = 18, the expected pair"
AB-05,It is the meeting of the balanced boundary of one stratum and the concentrated boundary of the next,NONE,prose-restatement,"Prose summary of TH-35, verified."
AB-06,Degeneracies recur at every multiple of the base sum 18 via an exact scaling law,code/enumerate_degeneracies.py,backed,check_primitivity_consistency: every scaled group reduces to its base
AB-07,Unconditional lower bound `𝒩(S) ≥ ⌊S/18⌋`,code/enumerate_degeneracies.py,backed,check_lower_bound: cumulative count >= floor(S/18) for all S <= 600
AB-08,Exact-arithmetic enumeration through `S = 600`,code/enumerate_degeneracies.py,backed,cumulative checkpoints asserted against independent values
AB-09,`𝒩(S)` tracks `c·S²` for `c ≈ 0.0085–0.0093`,code/enumerate_degeneracies.py,backed,cumulative checkpoints asserted against independent values
AB-10,The first three coefficients always determine the pillow up to isometry,NONE,prose-restatement,"Prose summary of IN-10/HC-28, both verified."
AB-11,Three invariant functions form local coordinates on cone-order space away from its diagonals,NONE,prose-restatement,"Prose summary of HC-33/HC-34, both verified."
AB-12,"""All numerical assertions are verified in exact rational arithmetic""",code/cross_check.py,backed,three-way agreement: harness vs. oracle vs. recovered legacy scripts
IN-01,`Area(O) = 2π(1 − (1/p + 1/q + 1/r))`,code/orbifold_enum.py,backed,"selftest: Area/pi = 2*(1-R), and not the pi*(1-R) form"
IN-02,Hyperbolicity ⟺ `1/p + 1/q + 1/r < 1`,code/orbifold_enum.py,backed,selftest: hyperbolicity sum(1-1/m_i)>2 reduces to R<1 at n=3
IN-03,"`O(p,q,r)` requires `2 ≤ p ≤ q ≤ r`",code/orbifold_enum.py,backed,Pillow rejects orders < 2 and unsorted multisets
IN-04,If `p+q+r ≤ 17` then `K(F) ≤ 2`,code/enumerate_degeneracies.py,backed,check_base_case: no sigma-collision for any S <= 17
IN-05,The bound 17 is sharp; two coefficients fail at sum 18,NONE,prose-restatement,Prose restatement of IN-04 plus IN-07.
IN-06,"`O(2,8,8)` and `O(3,3,12)` have identical first two heat coefficients",code/enumerate_degeneracies.py,backed,"check_base_case: exactly one degeneracy at S = 18, the expected pair"
IN-07,"Among all two-coefficient degeneracies this pair has smallest sum, `p+q+r = 18`",code/enumerate_degeneracies.py,backed,"check_base_case: exactly one degeneracy at S = 18, the expected pair"
IN-08,It is the **unique** degeneracy at sum 18,code/enumerate_degeneracies.py,backed,"check_base_case: exactly one degeneracy at S = 18, the expected pair"
IN-09,No degeneracy occurs for `p+q+r ≤ 17`,code/enumerate_degeneracies.py,backed,check_base_case: no sigma-collision for any S <= 17
IN-10,First three heat coefficients determine the pillow up to isometry; `K(F) ≤ 3`,code/verify_identities.py,backed,"eq (6): full round trip (p,q,r) -> (R,S_1,P_3) -> (p,q,r), S_1 <= 200"
IN-11,`K(F) = 3` for the collision pair,code/verify_identities.py,backed,"Section 2.3: Jacobian det DF, symbolically"
IN-12,"First coefficient detects the area, equivalently `R`",NONE,not-machine-checkable,That the FIRST HEAT COEFFICIENT is the area is analytic input; the harness verifies the arithmetic consequence (area determines R).
IN-13,"First two factor through `(R, S₁)`; two-coefficient determinacy ⟺ injectivity of `(p,q,r) ↦ (R,S₁)`",code/enumerate_degeneracies.py,backed,"sweep + degeneracy_groups keyed on sigma = (S_1, R)"
IN-14,"First three additionally detect `Σ mᵢ³`, hence the individual cone orders",code/verify_identities.py,backed,"eq (6): full round trip (p,q,r) -> (R,S_1,P_3) -> (p,q,r), S_1 <= 200"
IN-15,Threshold reduces to three adjacent-pair comparisons for `S₁ ≤ 17` and four endpoint comparisons at `S₁ = 18`,code/verify_identities.py,backed,Thm 3.4: the three adjacent-pair comparisons for S <= 17
CV-01,`a₀ = χ(O)/6 + Σᵢ (mᵢ² − 1)/(12 mᵢ)`,NONE,not-machine-checkable,"eq:a0conv is the DGGW normalization, quoted. The harness verifies everything derived FROM it, and checks it against the (S_1+R-2)/12 form, but the expansion itself is external."
CV-02,`χ(O) = 2 − Σᵢ(1 − 1/mᵢ) = R − 1`,code/verify_identities.py,backed,"a_0(2,3,5) = 271/360 = 269/360 + 1/180"
CV-03,"For `(2,3,5)`: cone sum `1/8 + 2/9 + 2/5 = 269/360`",code/verify_identities.py,backed,"a_0(2,3,5) = 271/360 = 269/360 + 1/180"
CV-04,"For `(2,3,5)`: smooth term `χ/6 = 1/180`",code/verify_identities.py,backed,"a_0(2,3,5) = 271/360 = 269/360 + 1/180"
CV-05,"For `(2,3,5)`: total `a₀ = 271/360`",code/verify_identities.py,backed,"a_0(2,3,5) = 271/360 = 269/360 + 1/180"
HC-01,`Σ_{j=1}^{m−1} cot²(jπ/m) = (m−1)(m−2)/3` for all `m ≥ 2`,code/verify_identities.py,backed,"Lemma 2.1: sum cot^2(j*pi/m) = (m-1)(m-2)/3, 2 <= m <= 200"
HC-02,"`[z^{m−1}]P = 2m`, `[z^{m−2}]P = 0`, `[z^{m−3}]P = 2·C(m,3)`, `deg P = m−1`",code/verify_identities.py,backed,"Vieta chain for (z+1)^m - (z-1)^m, exact, 2 <= m <= 200"
HC-03,"Roots `z_j = −i·cot(jπ/m)`, `j = 1…m−1`, all distinct",code/verify_identities.py,backed,"Lemma 2.1: sum cot^2(j*pi/m) = (m-1)(m-2)/3, 2 <= m <= 200"
HC-04,"`Σ z_j = 0` and `Σ_{i<j} z_i z_j = C(m,3)/m = (m−1)(m−2)/6`",code/verify_identities.py,backed,"Vieta chain for (z+1)^m - (z-1)^m, exact, 2 <= m <= 200"
HC-05,`Σ z_j² = −(m−1)(m−2)/3`,code/verify_identities.py,backed,"Vieta chain for (z+1)^m - (z-1)^m, exact, 2 <= m <= 200"
HC-06,`Σ_{j=1}^{m−1} csc²(jπ/m) = (m² − 1)/3`,code/verify_identities.py,backed,"Prop 2.2: sum csc^2(j*pi/m) = (m^2-1)/3, 2 <= m <= 200"
